,Tv shows,Actors,Rating
2010,Spartacus: Blood and Sand,"Andy Whitfield, Lucy Lawless",8.452948436156182
2010,Check It Out! with Dr. Steve Brule,"John C. Reilly, Carol Kraft",8.452182983041478
2014,Shigatsu wa kimi no uso,"Natsuki Hanae, Risa Taneda",8.451853787098885
2017,Feud,"Jessica Lange, Susan Sarandon",8.45138456489774
2010,Luther,"Idris Elba, Dermot Crowley",8.451191374358423
2016,Boku no hîrô akademia,"Daiki Yamashita, Justin Briner",8.449048055092778
2007,Naruto: Shippûden,"Junko Takeuchi, Maile Flanagan",8.442867540235998
2014,The Knick,"Clive Owen, André Holland",8.442002901502171
2019,Unbelievable,"Kaitlyn Dever, Toni Collette",8.441406040016643
2018,Pose,"Mj Rodriguez, Dominique Jackson",8.440642747155174
1996,Rurôni Kenshin - Meiji kenkaku romantan,"Mayo Suzukaze, Richard Cansino",8.439497118256757
2002,Kôkaku kidôtai: Stand Alone Complex,"Shirô Saitô, Mary Elizabeth McGlynn",8.439304747538717
2003,The Venture Bros.,"Christopher McCulloch, James Urbaniak",8.43588370448859
2009,Community,"Joel McHale, Danny Pudi",8.434670271480472
2008,Clannad: After Story,"Yûichi Nakamura, David Matranga",8.43374096031924
2013,Wentworth,"Kate Atkinson, Robbie Magasiva",8.432089861706402
2011,Der Tatortreiniger,"Bjarne Mädel, Peer Martiny",8.431449630378058
2001,Samurai Jack,"Phil LaMarr, Mako",8.427524831986611
2013,"Unsere Mütter, unsere Väter","Volker Bruch, Tom Schilling",8.42709088570452
2016,Sseulsseulhago Chalranhashin: Dokkaebi,"Yoo Gong, Go-eun Kim",8.427045496443792
2015,This Is England '90,"Lyra Mae Thomas, Billy Braithwait",8.425101363422748
2017,La Casa de Papel,"Úrsula Corberó, Itziar Ituño",8.424311973905269
2016,American Crime Story,"Sarah Paulson, Annaleigh Ashford",8.42426486200803
2005,Mushishi,"Yûto Nakano, Travis Willingham",8.424067227208111
2018,L'amica geniale,"Valentina Acca, Antonio Buonanno",8.42146609471822
1999,Futurama,"Billy West, John DiMaggio",8.421320571744833
1992,X-Men,"Cedric Smith, Cathal J. Dodd",8.421041085503912
2016,Mob Psycho 100,"Setsuo Ito, Takahiro Sakurai",8.418896952646666
2017,The Handmaid's Tale,"Elisabeth Moss, Yvonne Strahovski",8.413749059183726
2017,Masum,"Haluk Bilginer, Nur Sürer",8.413227777354983
2015,Ash vs Evil Dead,"Bruce Campbell, Ray Santiago",8.411716534450472
2009,Ezel,"Kenan Imirzalioglu, Cansu Dere",8.409490109564462
1973,Scener ur ett äktenskap,"Liv Ullmann, Erland Josephson",8.40709354039862
2004,The Angry Video Game Nerd,"James Rolfe, Mike Matei",8.404976786504621
1977,Jesus of Nazareth,"Robert Powell, Olivia Hussey",8.403700435493068
2019,Delhi Crime,"Shefali Shah, Rajesh Tailang",8.402444068863565
2015,Merlí,"Francesc Orella, Pere Ponce",8.401585249503528
1990,House of Cards,"Ian Richardson, Susannah Harker",8.400977234082244
